date,area
2022-02-24,70196.99599387318
2022-02-25,72085.8040137764
2022-02-26,80536.3061316239
2022-02-27,84508.89200211129
2022-02-28,84966.53869806195
2022-03-01,84966.53869806195
2022-03-02,86837.18757712832
2022-03-03,91544.3620836948
2022-03-04,91544.3620836948
2022-03-05,96341.077153598
2022-03-06,99864.59949161418
2022-03-07,100483.5528560032
2022-03-08,101409.05642656749
2022-03-09,102409.16424487387
2022-03-10,103617.60421572565
2022-03-11,103504.72749657914
2022-03-12,103820.6276332388
2022-03-13,103709.97944291864
2022-03-14,110881.36216838991
2022-03-15,112040.08443646137
2022-03-16,112167.17276313473
2022-03-17,118707.0502917065
2022-03-18,141112.65394026355
2022-03-19,141112.65394026355
2022-03-20,140656.96794328862
2022-03-21,140565.84905808675
2022-03-22,140565.84905808675
2022-03-23,140556.5849393771
2022-03-24,139794.56323869416
2022-03-25,150568.2490138109
2022-03-26,151984.79820645196
2022-03-27,150917.11347584537
2022-03-28,153476.9098188831
2022-03-29,153476.9098188831
2022-03-30,153473.8899107541
2022-03-31,153279.3907945608
2022-04-01,151831.50373921898
2022-04-02,151595.78122748196
2022-04-03,137509.9029116856
2022-04-04,128501.74565746551
2022-04-05,123033.62130558628
2022-04-06,123371.11011495593
2022-04-07,123361.17948536563
2022-04-08,123361.17948536563
2022-04-09,123561.05753666238
2022-04-10,123373.16229875822
2022-04-11,123373.16229875822
2022-04-12,123375.41201735925
2022-04-13,123271.61407597558
2022-04-14,122185.69006960093
2022-04-15,122185.69006960093
2022-04-16,122185.69006960093
2022-04-17,122450.27650679713
2022-04-18,122571.16967998778
2022-04-19,122458.98021223923
2022-04-20,122493.14892069617
2022-04-21,122493.14892069617
2022-04-22,122870.58763517198
2022-04-23,122870.58763517198
2022-04-24,123185.30835545168
2022-04-25,122823.37183686662
2022-04-26,122640.5577668788
2022-04-27,122792.5683844328
2022-04-28,122891.59841816749
2022-04-29,122854.77252754544
2022-04-30,122806.13572131723
2022-05-01,122806.13572131723
2022-05-02,122806.13572131723
2022-05-03,122662.92729371261
2022-05-04,122662.92729371261
2022-05-05,122649.14285629618
2022-05-06,122528.27830932171
2022-05-07,122528.27830932171
2022-05-08,122705.80531218884
2022-05-09,122575.14750208495
2022-05-10,122549.7604541741
2022-05-11,122549.7604541741
2022-05-12,122643.00910657438
2022-05-13,122804.20582174012
2022-05-14,122799.76317936301
2022-05-15,122799.76317936301
2022-05-16,122799.76317936301
2022-05-17,122799.76317936301
2022-05-18,122799.76317936301
2022-05-19,122799.76317936301
2022-05-20,122940.40189415574
2022-05-21,122940.40189415574
2022-05-22,122973.34274473583
2022-05-23,123096.19769454405
2022-05-24,123295.97167642765
2022-05-25,123329.92212292942
2022-05-26,123549.33140031893
2022-05-27,123595.59134124065
2022-05-28,123595.59134124065
2022-05-29,123565.8380682586
2022-05-30,123570.46794571244
2022-05-31,123545.85610156623
2022-06-01,123498.5403690658
2022-06-02,123512.15245596218
2022-06-03,123550.28474759962
2022-06-04,123542.80078081274
2022-06-05,123542.80078081274
2022-06-06,123542.80078081274
2022-06-07,123542.80078081274
2022-06-08,123429.89833177376
2022-06-09,123429.89833177376
2022-06-10,123429.89833177376
2022-06-11,123494.75811307007
2022-06-12,123500.30748733625
2022-06-13,123531.57866252375
2022-06-14,123631.78205248664
2022-06-15,123631.78205248664
2022-06-16,123631.78205248664
2022-06-17,123612.0205255241
2022-06-18,123643.26265490094
2022-06-19,123632.37588926719
2022-06-20,123571.8511435425
2022-06-21,123658.89424311992
2022-06-22,123658.89424311992
2022-06-23,123839.80446730161
2022-06-24,123675.37049435764
2022-06-25,123675.37049435764
2022-06-26,123787.7263795718
2022-06-27,123813.6633237965
2022-06-28,123824.25078415648
2022-06-29,123824.25078415648
2022-06-30,123824.25078415648
2022-07-01,123872.27585856087
2022-07-02,123967.48438937373
2022-07-03,124037.2362685945
2022-07-04,124036.02427885863
2022-07-05,124019.33788269635
2022-07-06,124019.33788269635
2022-07-07,124019.33788269635
2022-07-08,124019.33788269635
2022-07-09,124019.33788269635
2022-07-10,124019.33788269635
2022-07-11,124019.33788269635
2022-07-12,123982.6828022388
2022-07-13,123982.6828022388
2022-07-14,123982.6828022388
2022-07-15,123982.6828022388
2022-07-16,124047.0060637499
2022-07-17,124047.0060637499
2022-07-18,124047.0060637499
2022-07-19,124047.0060637499
2022-07-20,124047.0060637499
2022-07-21,124066.46855261562
2022-07-22,124066.46855261562
2022-07-23,124066.46855261562
2022-07-24,124066.46855261562
2022-07-25,124087.95098899605
2022-07-26,124087.95098899605
2022-07-27,124105.2030502416
